round_epoch,t_accuracy,t_loss,val_accuracy,val_loss,units,hidden_activations,activation,loss,optimizer,batch_size
3,0.18020000060399374,0.0089556399318907,0.20340000092983246,0.008863533660769463,120,relu,softmax,mse,adam,1000
3,0.1007173913328544,0.009428286277081655,0.12300000091393788,0.009313464785615603,120,relu,softmax,mse,adam,2000
3,0.04837777763605118,0.019032431269685426,0.047200000286102294,0.019056000187993048,120,relu,softmax,mse,adagrad,1000
3,0.049826086863227516,0.019003478324283726,0.05033333351214727,0.018993332982063293,120,relu,softmax,mse,adagrad,2000
3,0.04955555539992121,4.572651492224799,0.054000000655651095,4.56820707321167,120,relu,softmax,categorical_crossentropy,adam,1000
3,0.050369565253672394,4.571837487428085,0.04800000041723251,4.574206988016765,120,relu,softmax,categorical_crossentropy,adam,2000
3,0.049800000174178016,4.572406906551785,0.05179999992251396,4.5704070091247555,120,relu,softmax,categorical_crossentropy,adagrad,1000
3,0.04984782636165619,4.57235923020736,0.0494999997317791,4.572707017262776,120,relu,softmax,categorical_crossentropy,adagrad,2000
3,0.0,0.020000057129396332,0.0,0.020000051334500314,120,relu,sigmoid,mse,adam,1000
3,0.05084782628261525,0.009990074266882046,0.043499999990065895,0.009991476001838842,120,relu,sigmoid,mse,adam,2000
3,0.05031111141045888,0.07603321058882608,0.047200000286102294,0.06808399856090545,120,relu,sigmoid,mse,adagrad,1000
3,0.004499999887269476,0.020779561008448185,0.0,0.019999999552965164,120,relu,sigmoid,mse,adagrad,2000
3,0.04964444422059589,3.904230255550808,0.05319999977946281,3.9005650997161867,120,relu,sigmoid,categorical_crossentropy,adam,1000
3,0.049500000055717384,3.9478623348733652,0.05316666637857755,3.9356905619303384,120,relu,sigmoid,categorical_crossentropy,adam,2000
3,0.04964444446894858,4.0636938518948025,0.05319999977946281,4.059471511840821,120,relu,sigmoid,categorical_crossentropy,adagrad,1000
3,0.049543478404698166,3.987737614175548,0.05316666637857755,3.989527622858683,120,relu,sigmoid,categorical_crossentropy,adagrad,2000
3,0.04964444471730126,0.009504108565549056,0.04859999939799309,0.009501174464821816,120,sigmoid,softmax,mse,adam,1000
3,0.05156521709716838,0.009503400196199831,0.053666667391856514,0.009502999174098173,120,sigmoid,softmax,mse,adam,2000
3,0.048666666779253215,0.009503582864999771,0.04939999952912331,0.009504853934049606,120,sigmoid,softmax,mse,adagrad,1000
3,0.04986956537417744,0.00950446623660948,0.04966666673620542,0.009507847328980764,120,sigmoid,softmax,mse,adagrad,2000
3,0.0487333331671026,4.565653122795952,0.04260000064969063,4.567160320281983,120,sigmoid,softmax,categorical_crossentropy,adam,1000
3,0.048239130202842796,4.5656483277030615,0.04800000041723251,4.566170533498128,120,sigmoid,softmax,categorical_crossentropy,adam,2000
3,0.04980000025696225,4.565638637542724,0.04260000064969063,4.566880702972412,120,sigmoid,softmax,categorical_crossentropy,adagrad,1000
3,0.0493260871457017,4.565711498260498,0.043499999990065895,4.567526658376058,120,sigmoid,softmax,categorical_crossentropy,adagrad,2000
3,0.0488222220291694,0.010010993770427174,0.05319999977946281,0.009910301677882672,120,sigmoid,sigmoid,mse,adam,1000
3,0.04913043489922648,0.010680600474386112,0.05699999878803889,0.010375459678471088,120,sigmoid,sigmoid,mse,adam,2000
3,0.049533333546585505,0.009745291993021965,0.04260000064969063,0.009699879959225655,120,sigmoid,sigmoid,mse,adagrad,1000
3,0.04891304347826087,0.010014494071188181,0.049500000973542534,0.009914621089895567,120,sigmoid,sigmoid,mse,adagrad,2000
3,0.049333333224058154,3.9066264735327825,0.05600000023841858,3.9052872180938722,120,sigmoid,sigmoid,categorical_crossentropy,adam,1000
3,0.05097826068168101,3.916183461313662,0.043499999990065895,3.911616325378418,120,sigmoid,sigmoid,categorical_crossentropy,adam,2000
3,0.04968888916903072,3.9031574726104736,0.05280000045895576,3.9026839256286623,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,1000
3,0.05039130442816278,3.9058210435120957,0.04583333432674408,3.9048472245534263,120,sigmoid,sigmoid,categorical_crossentropy,adagrad,2000
3,0.16399999989403619,0.009014361910521984,0.18539999723434447,0.008859849721193313,240,relu,softmax,mse,adam,1000
3,0.13556521677452585,0.009201023768147697,0.14366666475931802,0.009122426621615887,240,relu,softmax,mse,adam,2000
3,0.049555555648273894,0.019008888800938924,0.054000000655651095,0.018919999524950982,240,relu,softmax,mse,adagrad,1000
3,0.05093478314254595,0.018981304343627846,0.043499999990065895,0.019129999602834385,240,relu,softmax,mse,adagrad,2000
3,0.050822222232818605,4.571384843190511,0.04260000064969063,4.579606914520264,240,relu,softmax,categorical_crossentropy,adam,1000
3,0.049891305034575256,4.572315672169561,0.05033333351214727,4.571873664855957,240,relu,softmax,categorical_crossentropy,adam,2000
3,0.0500666667189863,4.57214028040568,0.04939999952912331,4.572806930541992,240,relu,softmax,categorical_crossentropy,adagrad,1000
3,0.05008695647120476,4.572120127470597,0.049500000973542534,4.572707017262776,240,relu,softmax,categorical_crossentropy,adagrad,2000
3,0.006555555597878992,0.009999999900658925,0.005000000051222741,0.009999997913837433,240,relu,sigmoid,mse,adam,1000
3,0.02458695662410363,0.009999999776482582,0.025999999915560085,0.009999999776482582,240,relu,sigmoid,mse,adam,2000
3,0.04964444455173281,0.009999999776482582,0.05319999977946281,0.009999999776482582,240,relu,sigmoid,mse,adagrad,1000
3,0.04960869560423105,0.009999999776482582,0.05316666637857755,0.009999999776482582,240,relu,sigmoid,mse,adagrad,2000
